sentence,casual,math_word,effect-cause
原来是1美元=6.2元人民币，现在1美元=6.99元人民币，人民币是钉不住美元了，原来说6.2，现在变成6.99了，为什么？,0,,
因为你要钉住一篮子，必须保证人民币等于多少美元加上多少日元。,1,因为,{'钉住一篮子':'保证人民币等于多少美元加上多少日元'}
可见如果人民币钉住一篮子货币，美元对日元由1美元=100日元，升值到1美元=140日元，人民币对美元就贬值了，本来是1美元=6.2元人民币，现在变成1美元=6.99元人民币。,1,如果-就,{'人民币钉住一篮子货币':'人民币对美元贬值'}
现在我们讲的第三个概念钉住一篮子指数，由钉住一篮子转化成钉住货币篮子指数，这是什么意思？,0,,
来源：演讲者PPT以上两个等式是等价的。,0,,
左边以篮子货币来表示的，右边以篮子货币指数来表示的。,0,,
右边这个等式的右边称作货币篮子指数，货币篮子指数等于多少？,0,,
现在还不知道，你得知道了它们的汇率之后才知道，这就叫做篮子汇率指数。,1,这就,{'知道汇率':'篮子汇率指数'}
所谓钉住一篮子货币指数就是无论其他货币对美元汇率发生何种变化，货币当局永远保证篮子货币指数等于1或者100。,1,所谓-就是,{'钉住一篮子货币指数':'保证篮子货币指数等于1或者100'}
钉住一篮子货币等于保持篮子货币指数不变或者钉住一篮子货币指数，这俩说的是一件事。,0,,
当美元对其他货币汇率发生变化时，为了钉住一篮子货币指数，人民币对美元和日元的汇率会发生相应变化。,1,当-为了-会,{'美元对其他货币汇率发生变化,钉住一篮子货币指数':'人民币对美元和日元的汇率会发生变化'}
比如，美元对日元升值了40%，从100日元变成140日元，人民币对美元必须调整，由6.2贬值到6.99，一算贬值了11.3%，只有在这种情况下才能保证货币篮子指数等于1，即保持人民币的名义有效汇率不变，人民币对日元的汇率同时发生变化，1元人民币=16.13日元，变成了1元人民币=20日元，人民币对日元升值了23%，这个是钉住一篮子的结果。,1,即-这个是,{'钉住一篮子':'保持人民币的名义有效汇率不变,人民币对日元的汇率发生变化'}
钉住一篮子的结果是要保持一个国家的名义有效汇率不变。,1,结果是,{'钉住一篮子':'保持国家的名义有效汇率不变'}
当然其他国家的货币汇率发生了变化，人民币必须要做相应的调整。,1,当然,{'其他国家的货币汇率发生变化':'人民币要做调整'}
为什么要钉住一篮子？,0,,
主要的理由维持名义有效汇率稳定，保证出口的竞争力。,0,,
比如中国60%出口美国，40%出口日本，那么如果日元对美元大幅度贬值40%，如果出现这样一种情况下，你如果是钉住美元的话，那么中国对美国的出口不会影响，但是在这种情况下你人民币对日元就升值了40%，美元怎么变人民币也怎么变，这种情况下虽然中国对美国的出口不会受影响，但是对日本的出口就要受到影响，这是不利于贸易的。,1,比如-那么,{'中国60%出口美国，40%出口日本':'日元对美元大幅度贬值40%'}
为了解决这个问题，要找到一种平衡，许多国家就采取了钉住一篮子货币的方式，我所要强调的，钉住一篮子货币的目的是要维持名义有效汇率不变，保持一个国家出口的竞争力，这是钉住一篮子的主要目的，还有其他好处，这里不多说了。,1,为了-就，~的目的是,{'解决问题,找到平衡':'钉住一篮子货币','钉住一篮子货币':'维持名义有效汇率不变,保持国家出口的竞争力'}
8•11汇改及后续变化发生在2015年的“8•11汇改”大家都知道，有两个要点，一个是参考收盘价决定第二天的货币中间价，一个是日浮动区间±2％。,0,,
8•11汇改是走向汇率浮动非常重要的步骤。,1,是~步骤（-步，阶段）,{'8•11汇改':'汇率浮动'}
你这个汇率是要根据外汇市场的供求关系决定的，为什么收盘价跌了？,0,,
因为美元供不应求就跌了，那么由于它跌了，我今天就要顺势而为，根据昨天的收盘价来定今天的开盘价。,1,因为-就，由于-就,{'美元供不应求':'跌了','它跌了':'顺势而为'}
今天开盘价定好之后，可能市场认为你这个汇率还高，今天的收盘价又跌了，今天的收盘价又下跌，明天的开盘价根据今天的收盘价来定，这样汇率不断贬值下去。,1,根据-这样,{'明天的开盘价根据今天的收盘价来定':'汇率不断贬值'}
这个使我的官方汇率能够适应市场的供求关系，同样是由于这个原因，如果你的汇率贬值压力比较大的话，可以一天天这么贬下去，每天贬2%，10天贬20%。,1,{'一天天贬下去':'官方汇率适应市场的供求关系'}
当时央行看到头两天每天几乎贬2%，贬到底线了，怕一下子贬太多。,0,,
出来说我们这几天是汇率的一次性调整，我们的汇率是高估了3%，我们已经完成了这个调整，我们不会再接着调整了，这实际上宣布我们不再进行汇率体制的改革了。,1,实际上,{'汇率的一次性调整':'不再进行汇率体制的改革'}
现在来讲，如果央行不在三天之后停止这个改革，呆一个礼拜再看看，再呆两个礼拜、三个礼拜看看，可能汇率就稳住了，那时候的稳定跟现在就不一样。,1,如果-就,{'不在三天之后停止这个改革':'汇率就稳住'}
当时实际上经过一些风雨可能见彩虹了，但是那时候觉得不敢，彩虹没见，现在还等着看彩虹什么时候再出来。,0,,
8•11汇改的意义非常重大，大方向非常正确的，遗憾的是没有再坚持下去。,0,,
从2015年8月13日到2016年春节前后2月左右，央行的汇率政策到底是什么不大清楚，大致方向肯定是汇率维稳，怎么定价的大家不大清楚。,0,,
实际上出现了这么一种很有意思的情况，它要逆市场而动。,0,,
为什么？,0,,
要打破市场的人民币贬值预期。,0,,
大家回忆一下在2015年8月13日、8月14日那一段时间，你是不是认为人民币会继续贬值？,0,,
你认为人民币还会贬值吧。,0,,
这样一种情况下，实际发生的是人民币升值了。,0,,
大家都认为它要贬值而且都在换汇，人民币怎么升值了？,0,,
因为央行想打破人民币的贬值预期，你不是卖人民币吗？,0,,
我们就买美元。,0,,
动用外汇储备干预外汇市场，让你确信人民币不会贬值，相反人民币还会升值，本来想做空人民币，三折腾两折腾，折腾好几个月人民币不但没贬值反而升值了。,1,本来-不但-反而,{'做空人民币':'没贬值,升值'}
央行当时想通过这种方法打破人民币的贬值预期，但是要想打破人民币贬值的预期就得不断动用外汇储备，你得用外汇储备来买美元。,1,但是-就得,{'打破人民币贬值的预期':'动用外汇储备'}
外汇储备很快消耗掉，掉得很快，这时候央行肯定也不希望更多地使用外汇储备。,1,这时候,{'外汇储备很快消耗掉':'央行不希望使用外汇储备'}
忽然发现这个市场上大概贬值预期减弱了，大家不太认为人民币会贬值了，那赶紧停止对外汇市场的干预。,1,忽然发现-那,{'市场上贬值预期减弱':'停止对外汇市场的干预'}
一停止对外汇市场的干预，人民币自然就会贬值，就出现了这么一种情况。,1,一-就,{'停止对外汇市场的干预':'人民币就会贬值'}
贬值之后，大家又在抛了，我还得把贬值预期打下去，于是又干预外汇市场，这时候人民币又升值了。,1,于是-这时候,{'把贬值预期打下去,干预外汇市场':'人民币升值'}
你不是押宝押它贬我偏不让它贬，你认为它不贬了我让它贬贬，省得我用更多的外汇储备，你认为它贬了，我再外汇干预，打破市场的贬值预期。,0,,
总而言之，在这一段时间我们不大清楚央行干预的规则是什么。,0,,
在这样一种情况下，市场和国际货币基金组织有一些埋怨，说你缺乏跟市场的沟通，你可以干预，但是你的规则是什么，你需要有一个比较明确的规则。,0,,
这之后我们对汇率体制又进行了改革，出现了这样一种新的情况，推出了“收盘价+24小时篮子货币稳定”的新的定价规则。,0,,
虽然央行没有明确公布，但是市场上一般央行官员都承认是这么一个规则，有两个公式:当日汇率的中间价=前日汇率的中间价+[（前日收盘价-前日中间价）+（24小时篮子货币稳定的理论中间价-前日中间价）]÷2；,0,,
第二个式子简单一点，当日中间价=（前日收盘价+24小时篮子货币稳定的理论中间价）÷2。,0,,
这两个式子是等价的，前日中间价可以消掉的。,0,,
我们后面主要用这个式子“当日中间价=（前日收盘价+24小时篮子货币稳定的理论中间价）÷2”来分析。,0,,
比如说明天人民币汇率中间价是什么？,0,,
假设我现在问你这个问题的时候，今天的收盘价已经给出来了。,0,,
你现在已经知道了一个因素，就是今天的收盘价，你还要知道这个公式里面的第二项，24小时篮子货币稳定的理论中间价，这俩数一相加再除以2就知道明天的开盘价是多少。,0,,
关键问题是“24小时篮子货币稳定的理论中间价”到底是什么得搞清楚。,0,,
在前面那个例子中，当美元对日元汇率从100变成140的时候，为了让篮子汇率指数维持不变，人民币对美元汇率必须贬值，贬到6.99。,1,当~时候-为了-必须,{'美元对日元汇率从100变成140':'人民币对美元汇率贬值','人民币对美元汇率贬值':'篮子汇率指数维持不变'}
6.99就是指的货币篮子稳定的理论中间价，只有取6.99汇率的时候，你才能保证我的篮子汇率指数依然为100或者依然为1，保持不变，那么这个数就是维持篮子货币稳定的理论中间价。,1,只有-才能-就是,{'取6.99汇率的时候':'保证篮子汇率指数为1,维持篮子货币稳定的理论中间价'}
你现在能不能求出这个数？,0,,
现在不能求出这个数，得等到明天早上快开盘的时候，你知道了美元指数之后，知道了所有其他货币的汇率之后，你那时候才能算出来为了使我这个篮子货币指数不变，人民币对美元的汇率应该是多少。,0,,
一旦你算出来这个数再加上已经知道的昨天的收盘价再除以2，你就知道了今天的汇率中间价。,1,一旦-就,{'算出来这个数再加上已经知道的昨天的收盘价再除以2':'今天的汇率中间价'}
这里面需要注意，在央行新的公式之中，这里的汇率要先问一下是指收盘价还是指中间价还是指即期的汇率，我这里要特别指出，这个汇率是指的当日中间价。,0,,
这是一个很重要的问题，刚才我讲了，为了使所谓CFETS篮子货币指数唯一，人民币对美元的汇率应该是6.99，能不能保证等于6.99？,1,为了-应该,{'人民币对美元的汇率是6.99','使CFETS篮子货币指数唯一'}
其实是不能的。,0,,
今天的汇率中间价是（昨天的收盘价+6.99）÷2，只有昨天的收盘价恰恰等于6.99再除以2还是6.99，这时候篮子货币的指数才可能不变。,1,只有-才,{'昨天的收盘价等于6.99':'篮子货币的指数不变'}
刚才定义了6.99是使得我这个篮子货币指数不变的汇率，但是今天我实际的中间价不是这个汇率，这个汇率和昨天的收盘价这俩加起来再除以2，除非昨天收盘价恰恰是6.99，否则我们今天的汇率中间价要么就是高于篮子货币指数，要么就是低于篮子货币指数，要么高于100，要么低于100，不可能相等。,1,除非-否则,{'昨天收盘价是6.99':'汇率中间价等于篮子货币指数'}
为了维持篮子汇率指数不变，人民币对美元要进行调整，使得篮子指数等于1，现在你人民币对美元的调整并不是仅仅要考虑到使得篮子汇率指数唯一，而且要把昨天收盘价给考虑进去，这俩一加，一般情况下就不可能使得篮子货币指数等于1或者等于100。,1,为了-要-使得,{'人民币对美元要进行调整,使得篮子指数等于1':'维持篮子汇率指数不变'}
人们说中国采取的汇率制度是钉住一篮子，这个话说的不太对，我们考虑一篮子，是没法钉住一篮子的，要想钉住一篮子就别管昨天的收盘价，如果要考虑昨天的收盘价就没法保证钉住一篮子，使得一篮子指数不变。,1,要想-就,{'别管昨天的收盘价':'钉住一篮子'}
在央行的新公式中汇率不是6.99，而是前日收盘价和6.99的平均数，例如前日收盘价为7.01，当天的中间价应该等于（6.99+7.01）÷2=7，这个新的篮子汇率指数就要小于维持24小时篮子货币稳定的指数，因为6.99是我们应该有的，必须是这个数我们这个篮子汇率指数才不变，现在变成7了，这个不可能是一样了。,0,,
这时候就有新的篮子货币指数，我这个篮子货币指数每天都是不一样的，那这个新的又成了我明天定价的一个追踪目标。,1,这时候-那,{'有新的篮子货币指数':'成了定价的追踪目标'}
我们钉的不是按照传统的所谓钉住一篮子汇率，比如某年某月汇率都给定了，那么给出这个公式要保证篮子汇率指数等于100，一直维持不变，不是的，我们是天天都在变，我只不过想法子使今天的篮子汇率指数不要太脱离昨天的，但是它绝对不是钉住。,0,,
那么如何计算24小时篮子汇率稳定中间价，我刚才大致跟大家说了一下，具体的情况比这个要复杂一些。,0,,
篮子货币指数是指中国外汇交易体系CFETS或者上海外汇交易中心所公布的指数。,1,是指,{'篮子货币指数':'中国外汇交易体系CFETS或者上海外汇交易中心所公布的指数'}
CFETS到底是怎么变化的，跟哪些因素有关？,0,,
我们现在要考虑三个变量，人民币对美元的汇率、CFETS指数、美元指数，这三个变量之间是有关系的。,0,,
如果人民币对美元汇率贬值，美元指数也下跌，那么CFETS一定是下降的。,1,如果-那么,{'人民币对美元汇率贬值,美元指数下跌':'CFETS下降'}
如果人民币对美元贬值，美元指数上升，CFETS可能升也可能降，取决于人民币对美元贬值的相对幅度，这是我们得出的结论。,1,取决于,{'人民币对美元贬值的相对幅度':'CFETS升降'}
这个结论实际上是重要的，这是实际所看到的三个变量的变动路径。,0,,
来源：演讲者PPT黄线就是CFETS指数，大家可以看到起点为0，它在不断下降，但是在8月份之后是比较平稳的，刚才讲了，如果你要是钉住CFETS指数，CFETS应该不变，就是100。,1,要是-就是,{'钉住CFETS指数':'CFETS不变'}
但是你可以看到，一直到8月开始它的下降幅度速度是很大的，而且它变的比人民币下降的幅度还大。,0,,
要钉住一篮子的话，应该让篮子汇率指数不变，但是它实际上已经跌了7%，而人民币对美元的汇率反倒没跌到7%，从8月以后CFETS指数比较稳定了。,1,要-应该,{'钉住一篮子':'篮子汇率指数不变'}
还有美元指数的变动，美元指数在年初开始上升，后来下降，现在最近8月以后特别是10月以后开始上升，美元指数上升，这是非常重要的事实，可以看到三条线，灰线不要管它了，红色的是美元指数。,0,,
现在人民币对美元汇率的贬值幅度和CFETS的贬值幅度已经差不太多了。,0,,
特别要注意CFETS指数在8月以后基本比较平，为什么出现这种情况？,0,,
从2016年1月底到4月底美元指数下降时期，如果是钉住一篮子，那人民币对美元应该升值。,1,如果-那,{'钉住一篮子':'人民币对美元升值'}
但是，为了释放人民币贬值压力，央行没有更多干预外汇市场，人民币汇率中间价虽然有时候有所升值，但是升值有限。,1,为了-没有,{'央行没有干预外汇市场':'人民币汇率中间价升值有限,释放人民币贬值压力'}
美元指数贬值，按道理人民币相应升值，但是你确实升了一点但是很小，两个力量不能够综合不能相互抵消，那这个篮子货币CFETS就下降了。,1,,{'两个力量不能够综合不能相互抵消':'篮子货币CFETS下降'}
人民币一直存在着贬值压力，如果存在贬值压力情况下让它升值肯定要大量使用外汇储备，买进人民币，卖出美元。,1,如果-要,{'人民币存在贬值压力情况下让它升值':'使用外汇储备'}
我们又不太愿意这么做，结果CFETS往下走了。,1,,{'不愿意这么做':'CFETS往下走'}
4月底到7月初美元指数处于升值状态，为了维持篮子货币汇率稳定，人民币对美元应该贬值，在这种情况下人民币确实贬值了，而且贬值的幅度超过了维持CFETS指数稳定的要求，CFETS指数就会下跌而且下跌的幅度比较大。,1,为了-应该,{'人民币对美元贬值':'维持篮子货币汇率稳定'}
这叫顺水推舟，我本来就想释放贬值压力，现在由于美元的升值为了维持篮子货币汇率的稳定，我人民币现在本来就有贬值压力，那就让它贬值好了，贬值比较多了。,1,本来就-那就,{'有贬值压力':'让它贬值'}
贬值多于美元升值对于CFETS的影响，CFETS自然就是贬值了。,1,就是,{'贬值多于美元升值':'CFETS贬值'}
8月下旬至今，美元指数持续上升，为了维持篮子货币稳定，人民币对美元理应相应贬值，事实上央行减少了干预，允许人民币贬值，而且由于美元指数上升幅度较大，我就不需要让人民币贬值过多，它就能够使得这两个东西相吻合相对冲，这时候CFETS指数就稳定了，本来我美元指数上升的不太多，为了维持CFETS的稳定，让人民币贬值太多，CFETS就下来了，我贬值的少一点。,1,为了，由于-就，为了-让,{'人民币对美元贬值，央行减少干预':'维持篮子货币稳定','美元指数上升幅度较大':'不让人民币贬值过多','让人民币贬值太多':'维持CFETS的稳定'}
现在美元指数上升的很多，我就有了自由空间，就可以让人民币对美元的贬值幅度大一些，这时候依然能够保持CFETS不变。,1,就-能够，让-能够,{'美元指数上升的很多':'有自由空间','人民币对美元的贬值幅度大一些':'保持CFETS不变'}
上一阶段虽然也是美元升值，但是那时候美元升值的程度不像现在这么多，所以让人民币贬值不足以使CFETS平稳，现在由于美元升值比较多，我还按照原来的力度让人民币贬值，我就可以使得CFETS平稳了。,1,但是-所以-由于-还-就可以,{'美元升值的程度不多':'人民币贬值不足,使CFETS平稳','美元升值多,按照原来的力度让人民币贬值':'CFETS平稳'}
现在的美元升值给了我们央行一些操作的空间，让人民币有较大幅度的贬值，同时CFETS还没有很大的贬值，保持基本稳定。,1,,{'美元升值给央行操作的空间':'人民币有贬值,CFETS没有贬值,保持稳定'}
问题来了，为什么让人民币贬值？,0,,
按照钉住一篮子汇率的要求本来就应该让人民币贬值贬那么多，还有什么可说的？,0,,
没什么可说的。,0,,
现在正好利用这个时机，美元升值比较厉害，让人民币贬值比较厉害，而且我的CFETS是稳定的。,0,,
市场上对我没什么太大意见，因为你是钉住一篮子货币指数，不是钉住美元的。,0,,
这是目前所发生的情况。,0,,
我想再强调一下，实际上我们并不是钉住一篮子，我们只是考虑了一篮子因素，我们是想既考虑外汇市场的供求关系，又考虑篮子汇率的稳定，实际上我们这两者都各有舍取，基本还是干预外汇市场，控制汇率的变动，只不过采取了某种特定的方式来控制汇率的变动，你不能说我们是钉住一篮子货币。,0,,
央行引入这么一个机制到底想干什么？,0,,
我们如果钉住美元，要找到一个所谓的名义锚稳定通货膨胀，钉住一篮子货币为了保证出口的竞争力等等，央行为什么要引入这个新的机制？,1,如果-要-为了,{'钉住美元':'稳定通货膨胀','钉住一篮子货币':'保证出口的竞争力'}
两个都考虑到，它的目的是稳定人民币汇率的预期，缓慢释放人民币的贬值压力，遏制外汇储备急遽下降的势头。,1,,{'钉住美元,钉住一篮子货币':'稳定人民币汇率的预期,缓慢释放人民币的贬值压力,遏制外汇储备急遽下降'}
如果要是8•11汇率制度，人民币对美元的贬值很快，呼呼就下来了，引入新的机制这种情况就不会出现了。,1,如果要,{'是8•11汇率制度':'人民币对美元的贬值很快'}
举个例子，汇率收盘价对中间价每天贬值2%，8•11期间10天贬值20%，引入新机制现在也是每天贬2%，10天贬值多少？,0,,
可能是0。,0,,
今天的收盘价对中间价贬值2%，第二天重新计算中间价的时候要考虑到美元指数的变化，如果美元指数下降，人民币的理论汇率应该是上升，上升的程度正好把收盘价下降抵消了，所以经过10天不但不是贬了20%，可能根本没贬。,1,如果-应该,{'美元指数下降':'人民币的汇率上升'}
作为参照，收盘价对中间价而言，我收盘价对中间价贬了，但是中间价不断上升，到最后可能没贬。,0,,
最简单的例子，今天的中间价等于昨天的收盘价加上今天的理论汇率。,0,,
假如今天的理论汇率跟昨天的收盘价一样的，那么根本就没有变化。,1,假如-那么,{'今天的理论汇率跟昨天的收盘价一样的':'没有变化'}
引入了这个新的汇率机制，其他条件都相等的情况下可以延迟汇率的贬值速度，降低它的贬值速度。,0,,
央行比较得意的，引入了不确定性，如果我每天按照过去8•11汇改，只是看今天的收盘价我就大致猜明天的中间价。,1,如果-只是,{'按照8•11汇改,看今天的收盘价':'明天的中间价'}
我引入了这个之后，不但要看今天的收盘价，而且要等到明天看明天的美元指数，我得算出这24小时篮子汇率稳定理论汇率到底是多少，这个数等明天开盘的时候才能知道。,0,,
过去你只要看国内的外汇市场供求就行了，现在不但得看国内还得看全球。,0,,
你等到明天开盘的时候知道美元指数算出来，后天、大后天、下礼拜就不知道了。,0,,
而美元指数是由各种各样因素造成，也可能升也可能降，不像咱们人民币一路往下贬，那个一会儿升一会儿降，美元指数的波动使得所制定出的中间价也会有波动，投机者很难判断明天人民币对美元的汇率到底是多少，增加了不确定性。,1,使得,{'美元指数波动':'中间价有波动'}
