sentence,casual,math_word,effect-cause
在那个阶段里，可以说微观干多、干少、干好、干坏跟它的收入分配没有关系，还有这种体制的弊端使经济缺乏活力，缺乏效率，长期造成生产的发展缓慢，效率比较低下，这种体制缺点暴露出来以后，我们就要改革，所以78年以后的改革，更多的就是要让微观有活力，让宏观有效率。,1,所以,{'体制缺点暴露':'我们要改革','我们要改革':'让微观有活力','我们要改革':'让宏观有效率'}
更多的就是政策向生产者来倾斜。,0,,
1978年以前我们经济发展的主要矛盾是生产不足，长期以来东西供不应求，所有东西都是短缺的，政府希望发挥企业作为一个生产者的积极的作用，从农村的改革到城市的改革，这一系列的改革都是把政府原来掌握的一部分资源，把政府原来控制的一部分权力向生产者来转移。,1,,{'1978年以前经济发展的主要矛盾是生产不足':'东西供不应求','发挥企业积极的作用':'政府转移部分权力给生产者'}
在这个阶段应该说，我们的农民获得了最基本的生产的权力，拥有了土地，这个最基本的要素，直接结合这样一种机会和权力，带来的是农业生产力的快速发展。,1,,{'我们要改革':'农民获得生产的权力','我们要改革':'农民拥有土地','农民获得生产的权力,农民拥有土地':'带来农业生产力的快速发展'}
84年开始转向城市的改革，我们回顾一下，是企业扩权让利，让企业有了更多的发展生产，有支配自己的生产成果的一些权力。,1,,{'84年转向城市的改革':'企业扩权让利','企业扩权让利':'企业有了发展生产','企业扩权让利':'有支配生产成果的一些权力'}
在这个阶段，城市经济也获得了比较大的发展。,1,,{'84年转向城市的改革':'城市经济获得了比较大的发展'}
这个体制的转变克服了过去单纯政府作为一个经济主导作用的一种缺陷，使微观的活力得到了一定恢复和加强。,1,使,{'84年转向城市的改革':'微观的活力得到了一定恢复和加强'}
进入90年代的中后期，我们这种改革，这种变化带来的一个新的结果，就是生产获得了空前的发展，社会生产力获得了长足的进步。,1,带来,{'84年转向城市的改革':'带来新的结果','84年转向城市的改革':'生产获得了空前的发展','84年转向城市的改革':'社会生产力获得了长足的进步'}
可以说到90年代的中期，中国第一次告别了短缺。,0,,
就是社会商品供应的短缺，在这个阶段里，我们所有的商品包括农产品，工业产品，和一些最基本的服务品，它的供应能力都大大的提高，在世界上的排位有了一个明显的提升，在经济生活中，所有的东西在短时间里变得多起来。,0,,
这个时候，大家发现需求的问题成为影响经济生活的一个主要的矛盾，生产者的地位开始让位于消费者，因为需求问题，说到底就是消费者的能力问题。,1,因为,{'生产者的地位让位于消费者':'需求问题'}
在这个阶段里面，大家发现原来经济生活中间，并不是什么东西只要生产出来就能解决问题。,0,,
而是还必须把它销售出去，才能解决问题，在这个阶段里，表现出来的，就是需要激活市场的活力，需要发挥消费者的作用。,1,,{'发挥消费者的作用':'激活市场的活力'}
因此我们的经济生活开始出现新的转向，就是由政府说了算到生产者与政府共同说了算，到消费者也要展示自己的能量，发挥自己作用的这样一种新的阶段。,1,,{'消费者发挥自己作用':'经济生活出现新的转向'}
在这个阶段里，恰好我们又遇上1997年下半年开始的亚洲金融风暴，那么亚洲金融风暴它带来的直接的影响，就是外部需求的急剧的回落。,1,~带来的直接影响,{'亚洲金融风暴':'外部需求急剧的回落'}
需求问题变得更加的突出，因为我们一方面是需要靠内需，一方面也需要靠外需，但是恰恰在这个阶段里，外需受到了影响，政府作为扩大需求的一个重要的选择，就是采取进一步刺激内部需求，以弥补外部需求不足的这样一种作法。,1,因为,{'外需受到影响':'需求问题变得突出','外需受到影响':'刺激内部需求','刺激内部需求':'弥补外部需求','刺激内部需求':''}
从1998年开始政府实行了扩大内需，中间更多的是靠发行特别的国债这样的作法来刺激经济的增长，这是第一个背景。,1,刺激,{'发行特别的国债':'刺激经济的增长','刺激经济的增长':'扩大内需'}
也就是经济运行转到需要靠需求，需要靠市场来决定经济的发展，而不是更多的靠生产就生产论生产。,0,,
第二个背景大家都知道，我们在长期的时间，温饱问题一直没有解决，大多数人都是为了解决自己的吃饱，穿好和最基本的生存问题而在日夜奋斗。,0,,
这个阶段经过改革二十多年的努力，在90年代初期，就基本上解决了一个温饱问题。,0,,
从90年代开始，我们转向经济发展的第二个战略目标，就是要实现温饱有余，基本达到小康这样一个新的目标。,1,,{'实现温饱有余':'达到小康'}
在整个经济运行里，消费者对市场、对生产的要求也是发生新的变化，不是再关心东西有没有的问题，更多的关心东西好与不好的问题。,1,,{'消费者关心东西好与不好':'生产的要求发生新的变化'}
这个阶段，更多的关心，这个商品我什么时候买更合算，什么时候消费效益最大，这样一种选择性的消费的新阶段。,0,,
因此消费者有一个怎么积累相应的货币，提升自己的消费能力，进而满足更多的消费的需要。,1,因此-进而,{'消费者积累货币':'提升消费能力','提升消费能力':'满足消费的需要'}
用句形象话来说，就是我们在解决了百元级的商品消费，千元级的商品消费，要向万元级，向十万元级，这样一个更高消费档次来转变的一个新的阶段。,0,,
在这样一个阶段里，必然会出现个体消费不再是温饱时期排浪式的消费，更多的是一种个性化的消费，大家经历过十年二十年市场的考验熏陶，自身的适应市场能力，自身消费的能力的差别已经逐步的拉大，他对整个自己的消费的选择也必然会拉开差距。,0,,
在这个阶段必然有一个消费能力进一步的培育，消费领域进一步的拓宽，消费权益进一步的保护的新要求，经济生活中，必然会出现一个过渡的消费平淡阶段。,0,,
大家知道，从千元级到万元级，再从万元级到十万元级转变中间，有一个实质就是需要货币积累。,0,,
表现在市场，大家发现原来市场尽管潜在能力很大，现实能力开始不像是过去两位数以上那种快速的成长，而是转到了比较平淡平稳，这就我们的经济生活带来了一些新的挑战。,1,因为,{'市场转到了比较平淡平稳':'对经济生活带来了一些新的挑战'}
第三，在我们国家实现由传统的计划经济体制向社会主义市场经济体制转变中，可以说国人长期习惯的依赖于政府，依赖于单位这样一种传统的生活模式，也在悄悄发生变化。,0,,
这种变化是，一方面个人可能离开政府，离开单位获得更大的发展的空间，但在获得这种更大发展空间的同时，也在面对市场风险的挑战，许多不可预见的因素的困扰，比如说下岗，失业，比如说个人要为自己的经济行为承担责任这一系列的问题。,0,,
进入90年代中后期，我们所遇到的改革或者是我们所从事的改革，更多的是与大家的利益息息相关的一些方面，比如说教育的改革，比如说住房的改革，比如说医疗的改革，比如说劳保，社会保障方面的改革，养老等方面改革，表现在大家觉得未来自己花钱的领域在明显的扩大，而未来自己可能获得稳定的收入的空间，在明显的缩小。,1,表现在,{'90年代中后期，我们所遇到的改革':'花钱的领域在明显的扩大,收入空间在明显的缩小'}
更多的是要迎接这种变化，这种挑战所带来的维护自己最佳利益的新的阶段。,0,,
在整个社会经济生活中，就出现了一种新的预期，这预期就是对未来的不安的情绪在上升，对未来支出的压力加大。,0,,
对前一时期，改革常常见到的奖金、工资、收入渠道的更多，增长的更快这种因素，似乎变得越来越不确定。,0,,
收入的不确定，这种支出的很确定，就使得大家重新的安排自己的消费。,1,使得,{'收入不确定,支出很确定':'大家重新的安排消费'}
因此在整个生活中，大家发现了一个新的现象，就是尽管东西越来越便宜，但是另一方面，存在银行的钱也越来越多。,1,因此,{'大家重新的安排消费':'东西越来越便宜,存在银行的钱越来越多'}
为什么？,0,,
就是前面讲的，一方面我们需要积累一定的货币，来满足更大更贵的商品消费的需要，即需要存钱。,1,来满足,{'积累一定的货币':'满足商品消费的需要'}
另一方面，是需要应对未来下岗、孩子的教育、买房、养老、更多远期支出需要的保障，需要节省，压缩当前的消费来预留未来的消费。,1,,{'应对远期支出需要':'压缩当前的消费'}
这样一种心理变化，必然影响现实生活，这就是我们国家眼下阶段，为什么利率一降再降，可是老百姓在银行的存款是一升再升，并没有向别的市场经济国家那样，当利率下降以后，它就开始考虑储蓄的走向。,1,这就是~-为什么~,{'眼下阶段，国家利率一降再降':'影响现实生活'}
这就给经济生活带来新的挑战，大家谨慎的花钱，必然会引发消费需求动力不足。,1,引发,{'给经济生活带来新的挑战':'消费需求动力不足'}
这种情况需要有另外的力量来加以弥补，这就是我们国家采取积极财政政策的又一个重要的背景。,0,,
同样需要提到的是我们的企业，在经历了改革前期那种更多的是在短缺条件下面的发展，进入新的阶段以后，它也遇到了更多市场竞争的挑战，遇到了来自国际的竞争的挑战，遇到了需要更多的考虑自身的投资回报的新的选择，因此在它的投资决策中间，在它的生产经营中间，也开始显得更加的谨慎，不是那么盲目，而是更加的理性。,1,因此,{'遇到市场竞争的挑战,考虑自身的投资回报':'投资决策，生产经营显得更加的谨慎'}
这就是眼下民间投资为什么不再像改革前期阶段那么活跃。,0,,
这一方面是因为市场的前景给他感觉不是很明朗，另一方面，这种钱来的不是那么容易，第三这种钱都是自己的钱，投下去以后要考虑有回报，这就使我们的企业的行为，也发生了变化。,1,一方面因为-另一方面，使,{'市场的前景不明朗,钱来的不容易,投钱考虑回报':'民间投资不活跃','投钱考虑回报':'企业的行为发生变化'}
同样随着改革的推进，我们的银行的行为，也在发生变化，他一方面是受到政府对银行高度的约束，不许乱贷款。,1,随着~也，一方面,{'随着改革的推进':'银行的行为发生变化','随着改革的推进':'政府对银行高度的约束','政府对银行高度的约束':'不许乱贷款'}
另一方面银行自身也要考虑所谓的金融的风险，这两重压力使得他在贷款的方面也变得更加的谨慎。,1,另一方面~，使得,{'银行考虑金融的风险,政府对银行高度的约束':'贷款方面变得更加的谨慎','贷款方面变得更加的谨慎':'银行的行为发生变化'}
因此就带来整个经济生活中金融作用在萎缩。,1,因此就带来,{'贷款方面变得更加的谨慎':'金融作用在萎缩'}
大家这几年发现，货币政策的作用似乎表现的不是那么显著。,0,,
这就是我要告诉大家我们国家之所要选择采取发债的办法的一些最基本的背景。,0,,
到2002年底已经累计发了6600亿元的特别国债，这些国债对促进经济发展应该说是起了积极的作用。,~起~作用,{'累计发了6600亿元的特别国债':'促进了经济发展'}
一方面，我们在这时期，基础设施等方面的建设力度明显的加大，增强了经济发展的后劲，而另一方面又使短期经济发展的需求不足的矛盾有了一定的缓解。,1,一方面，另一方面，增强，使,{'基础设施的建设力度明显的加大':'增强经济发展的后劲','基础设施的建设力度明显的加大':'需求不足的矛盾有一定的缓解'}
所以我说，积极的财政政策，它的作用就表现在两方面，第一是弥补了我刚才所分析的特定因素带来短期需求不足的压力。,1,~作用表现在，第一，弥补,{'实施积极的财政政策':'弥补了需求不足的压力'}
第二，缓解了制约中国经济长期发展的瓶径障碍，为长期的发展奠定了一些必要的基础。,1,第二，缓解,{'实施积极的财政政策':'缓解了中国经济长期发展的瓶径障碍','缓解了中国经济长期发展的瓶径障碍':'为发展奠定了基础'}
这一政策执行到目前为止效果还是好的，这几年经济保持了7%以上的增长，基础设施明显改善，有人说，这个地球变得越来越小，为什么？,1,,{'实施积极的财政政策':'经济保持了7%以上的增长','实施积极的财政政策':'基础设施明显改善'}
因为这几年我们新增的高速公路超过一万公里，到2001年底，我们已经有19400多公里的高速公路，近四年新增15000公里，到2002年底，我们可能就将超过两万多公里，短短的这么四五年时间，使得中国的高速公路的长度在世界已经仅次于美国，美国现在是八万多公里。,1,因为,{'新增的高速公路超过一万公里':'地球变得越来越小'}
同时铁路建设和改造也取得明显成果，连续提速，加上新增10000公里的铁路，铁路运输更加快捷。,1,,{'新增10000公里的铁路':'铁路运输更加快捷'}
另外一方面，大家看到这几年邮电通讯，城市基础设施，大江大河的治理，农村电网的改造，都取得了丰硕成果。,0,,
这些既为当前的经济增长，又为长期的发展，奠定了基础，创造了条件。,1,既-又,{'发展邮电通讯,紧抓城市基础设施,治理大江大河,改造农村电网':'奠定了发展的基础和条件'}
当然大家关心的就是这种政策是不是带来了风险？,0,,
我们可以按照国际的标准来衡量，国际上一般来说，衡量这样一个政策是否合适，第一，看它是不是在财政赤字方面超过了警戒线，第二是看它的债务的负担超过了承受能力没有。,0,,
国际上一是财政赤字占国内生产总值的比重以不超过3%作为一个界线，那么到去年年底，财政赤字在国内生产总值的比重为2.6%，应该说没有超过3%，今年财政赤字3098亿元，占10万多亿GDP的比重可能接近3%，或者说刚刚在3%这样一个临界点范围内，还没有超出危险的状态；,0,,
二是债务负担率即财政债务的余额占国内生产总值的比重，以不超过100%作为可承受的界限，超过了100%就意味债务负担的压力过大，这一指标到去年我们是16.3%，到今年估计能到18%左右，相对而言，就显性的财政债务来说还是比较低的，处在可承受范围之内，没有超出这种安全的范围，应该说不是一个太大的问题。,0,,
现在社会上议论得比较多的是两个问题，第一，就觉得你政府算的这种债务不全，因为政府现在还有很多债务没有算在之内，比如说第一，国有银行的不良贷款，归根到底要由财政弥补，第二，社会保障的缺口，财政必须补上，这些理应考虑在内。,1,因为,{'政府有很多债务没有算在之内':'政府算的这种债务不全'} 
但即使这些方面我们把它考虑在内，我想到目前为止，债务的负担也还没有超过100%。,0,,
大家知道我们银行的债务，不良的贷款到目前为止也就是20000多亿元这样一个水平，再考虑社会保障的缺口，也可能有几万亿，加在一起也还没有超过10万多亿的GDP的水平，因此它还不是一个太大问题，但确实比目前的18%的水平要明显的提高，但提高也还没有超出，100%这样一个安全的范围，况且这种隐性债务算不算大家还有争议呢。,1,因此,{'加在一起没有超过10万多亿的GDP':'银行的债务不是一个太大问题'}
当然把它算也没有什么太说不过去的问题，因为毕竟银行的不良债务问题，社会的保障系统最终都还是要由政府来承担，也可以把它算作债务，就是算在内，也还没有超出安全的范围，我看这是一个方面。,1,因为,{'债务问题由政府承担':'银行的债务不是一个太大问题'}
第二个方面就是发债的效应，是不是它的作用在降低。,0,,
首先我们可以看实际生活中，这几年财政政策拉动经济增长的变化，每年也就是1个百分点到2个百分点之间，有的年份1.5个点，有的年份1.9个点，有的年份1.7个点，有的年份2个点，就是说这种政策的实施，使得我们GDP每年能够多增长1.5%-2%，这些年都在这样一个界限范围之内，没有太大的变化。,0,,
其次大家说现在挤压了民间的需求。,0,,
事实上，这几年民间需求也没有太大的挤压，因为政府所办的这些事情，大江大河的治理，基础设施的建设，城市功能的增强，都是企业和个人力不从心的事情，或者是社会投资不愿意介入的一些领域。,1,因为,{'治理大江大河,建设基础设施,增强城市功能':'企业和个人力不从心','企业和个人力不从心':政府办这些事情,'社会投资不愿意介入':'政府所办的这些事情'}
政府去投资也是应该的，不存在挤压的问题。,0,,
至于说财政资金的使用效率，我想这可能是一个问题，大家知道政府的钱，或者公家的钱使起来，总不像个人的钱那么有效率，这是世界各国共同存在的一个问题。,0,,
无论是美国、德国、日本、还是我们周边的一些所谓资本主义国家，它们在政府钱的花费方面可能跟我们有的不同，就是程序相对比较严格，但是花起钱来也是像流水一样，不考虑效率，那么我们在这点上跟它们没有太大的差别，唯一有差别是我们的投向是合理的，如果有问题就是这种资源配置的方式上，确实还值得进一步的来完善，也就是我们政府的资源，能不能也借助一些市场的办法使得它配置的更有效，是我们应该总结的一个经验。,0,,
当然，这是事后的话，在我们的体制不健全的情况下，有时只能由政府的直接作用，来决定更多资源的配置。,1,因为,{'体制不健全':'政府配置资源'}
总之，这种政策实施的效果是较为显著的，今后继续坚持的空间也还是存在的，当然，我们可以考虑在使用的程序上更科学一些，投向上作一些适当的调整，发债的规模上作一定的修正。,0,,
这种政策还可以继续实行若干年，来支持经济的发展。,0,,
这是我想讲的第一个问题。,0,,
第二，当前经济发展的基本的特征。
大家知道今年经济生活中，确实跟往年相比有些不同，一是原来预期今年可能更加困难的，结果到目前为止，今年比原来预期更好。,0,,
二是原来以为今年经济的发展，可能会遇到加入世贸组织以后严重的冲击，但是到目前为止，也没有感受到太多的WTO的因素的冲击，相反，似乎正面影响还大于负面。,0,,
三是可能更多的期望今年经济生活中，方方面面都应该表现得更协调一些。,0,,
其实，今年经济运行中，好像也还是亮点与不亮点，好的与不好的，同时存在，也不是一片大好。,0,,
我对当前经济形势总的看法是：经济继续保持发展，总体态势平稳，多数的指标比预期要好，但发展的前景还不很确定。,0,,
之所以这样一种评价，我想主要就是：一方面，从眼下来看，经济的发展并没有大起大落，第一季度增长了7.6%，第二季度增长了8%，上半年增长了7.8%，从发展态势来看没有出现大起，也没有出现大落，更多就在七上八下这样一个区间来平稳运行。,0,,
为什么说多数指标比原来预期的要好，因为我们原来预期，比如说出口可能会明显的滑坡，投资可能会明显的降温，市场的销售，可能也是不很景气。,1,因为,{'原来预期不景气':'多数指标比原来预期的要好'}
从现在来看，第一，整个经济的增长速度还是比较快的，达到7.8%；,0,,
第二，出口，到上半年是增长了14.1%，就是说比去年全年6.8%的速度还是要快得多，比去年同期也要快，不是像想象的那么坏；,0,,
第三，市场销售确实表现不像原来预料的那么好，但是如果考虑一些特殊的收入，市场的销售也还是大致正常。,1,如果-也,{'市场销售考虑特殊的收入':'市场的销售是大致正常'}
比如说上半年，整个市场销售是增长8.6%，估计七月份也是这样一个速度，不会有太大的问题，在八上九下这样一个区间，主要考虑，一是今年的物价水平比去年低，所以百姓实际购买的消费品数量并没有比去年降多少，这是一个因素。,1,所以,{'物价水平低':'购买量没有太多的下降'}
二是今年跟去年比较，去年有一个所谓的购物券的因素，就是政府通知，所有的购物券不能继续发行，已发的必须在二月底前使用完，购物券集中消费，带来了去年基数比较高的问题，这样一个高基数，到目前也还是在影响，400多亿的高基数影响比较大，扣除这因素，大致上今年市场销售的成长率跟去年的情况比差距不是很大，有零点几个百分点的差距。,1,带来了~,{'购物券集中消费':'基数比较高的问题'}
第四投资，全社会投资增长了21.5%，比去年全年近13%的速度要明显高得多，也比大家想象的要好的多，是比较强劲的一种增长，是可以接受的一个结果。,0,,
第五城乡居民的收入，农民收入增长了5.9%，城镇居民收入增长17.5%，分别比去年同期农民收入增长4.2%，城镇居民收入增长7.8%，有明显提高的趋势，当然，这里面有一个特别的因素，就城里的人来说，它的收入主要是因为去年调资的影响，去年增长工资，又多发一个月的工资，最后一个月的工资并没有在去年体现，而在今年来体现，这样一个因素，大致拉动了居民的收入的增长差不多2-3个百分点，除去这一因素，跟去年相比增速也还是没有太大的提高。,1,~一个因素,{'多发一个月的工资':'城镇居民收入明显提高'}
但不管怎么说经济增长，工业生产，投资，市场销售，出口，居民收入，国家的外汇储备等多方面指标，比原来预期都要好，今年以来经济的积极变化如果说有新的因素的话，我想，第一，成长的动力有新的变化，前两年增长更多的是靠内需，今年外需终于也有一个正向的拉动，在上半年7. 8%当中，外需，也是正向拉动一个百分点，前两年基本都是靠内需增长，外需则是负拉动。,0,,
第二，就是政府的作用和市场的力量同时存在。,0,,
这集中反映在投资上政府的投资继续保持一个比较快的增长，与此同时民间的投资也在加速增长，城乡集体、个体投资上半年增长了17.5%，应该说这个速度也是比较快的，这说明市场的力量也在加强。,1,说明,{'城乡集体和个体投资在加速增长':'市场的力量在加强'}
第三，就是财政政策的作用和货币政策之间，搭配的更加的协调。,0,,
货币政策在今年经济生活中间，它的支持作用进一步加大，货币供应量增长速度在提高，货币的流动性在加强，这是今年经济活力有所恢复又一个重要的表现。,1,进一步,{'货币政策支持作用加大':'货币供应量增长速度在提高','货币政策支持作用加大':'货币的流动性在加强','货币供应量增长速度在提高,货币的流动性在加强':'经济活力有所恢复'}
当然，从发展前景来看，我们觉得还是存在不确定性的。,0,,
估计今年7%以上是基本成形，但是要实现所预期的，经济从此走向加速成长的新周期，不再重复过去的前高后低，或前低后高周期性波动的局面，危险还没有完全的消除。,0,,
尽管下半年经济还要继续保持增长，但到现在为止我们很难说下半年的速度，一定会比上半年的速度高，很可能还要略低一些。,0,,
今年有一些新的因素可能会改变这种预期，但是按照目前来看，两大因素决定了下半年经济还有隐忧。,0,,
第一，是整个世界经济，外部环境，上半年确实是在恢复，表现良好，但从目前来看，外部的事件又增长了新的不确定的因素，突出就是美国经济，美国经济到目前复苏的前景，不是那么明朗，国际货币基金组织，在最近再一次把原来预期比较好的经济，做了适当的下调。,0,,
美国经济不像它一季度表现那么强劲，现在企业投资在继续下降，股市持续的低迷，美元持续的疲软。,1,,{'企业投资继续下降,股市持续的低迷,美元持续的疲软':'美国经济不那么强劲'}
尽管最近一两个礼拜重新趋于稳定，但是在过去的一段时间里面，它跟主要货币，曾经一度贬值10%以上，恢复也是很有限的。,0,,
另一方面，美国失业率居高不下，美国的消费者信心指数再一次的走低，这使得它经济增长中，很重要的消费的力量在减弱。,1,使得,{'消费者信心指数走低':'消费的力量在减弱'}
美国投资对它的影响，大致是30%左右，消费的影响是2/3，另外的影响就是外部需求的影响，而眼下来看，固定资产投资下降，流动资产投资有所回升，上半年它的经济增长更多是靠库存的增长来刺激，真正靠企业固定资本的投资并没有带来新的变化。,0,,
这是我们需要警觉的一个因素。,0,,
而另一方面，就国内经济来看，仔细观察也看到微观生活中活力的问题，需求的问题，也还在不同程度的再现出来的，尤其是市场价格持续走低，失业还处在一个比较高的水平，使得微观层面的问题比宏观层面问题还要更突出，这也会影响经济内在活力的发挥。,1,使得-还会,{'市场价格持续走低,失业处在高的水平':'微观层面的问题比宏观层面问题突出','市场价格持续走低,失业处在高的水平':'影响经济内在活力的发挥'}
从发展前景来看，尽管我们认为，完成7%的预期目标没有问题，但要从此走向一个不再回调的不归之路可能还需要继续努力，这是我想讲的第二个问题。,0,,
第三，就是农民问题。,0,,
农民问题城里人不是很关心，但它确实是我们国家经济生活中，一个很突出的问题。,0,,
我之所以要对着城里人谈农民问题，就是因为农民问题已经影响到城里人的生活。,1,之所以-因为,{'农民问题影响到城里人的生活':'对着城里人谈农民问题'}
农民问题说到底，就是农民的收入问题，农民的利益问题。,0,,
并不是我们传统意义上的农产品的生产问题，也不是农民缺吃少穿，温饱解决不了的问题。,0,,
过去我们说，中国革命的首要问题是农民问题，今天我们同样可以说，中国建设的首要问题也是农民问题。,0,,
中国之所以在人均GDP1000美元还不到这样一个低水平的阶段，就出现了“买方市场”，很大程度上是农民需求不足带来的一个结果。,1,~的结果,{'农民需求不足':'出现了买方市场'}
农民人均收入去年是2366元，城里的人均收入是6860元，表面的差距是1：2. 9多，将近1：3。,0,,
但实际上，农民2366元中间，还有40%是实物性的收入，就是种的粮食，种的水果，养的牲畜等方面，虽然他还没有卖出去，按照国际标准，也要算他的收入。,0,,
但这收入跟市场并没有直接联系，所以他真正的货币收入只有1800多块钱。,1,但-所以,{'农民收入跟市场没有直接联系':'货币收入只有1800多块钱','货币收入只有1800多块钱':'城乡差距扩大'}
这1800跟6860相比较的差距，就要比这表面差距扩大了许多。,0,,
在这1800多元的收入里，又含有20%的收入要用来第二年购买农药、化肥、种子、柴油等这些生产性的开支，这些对于城里人来说并不需要，把这20%再扣除，每个农民一年的货币性的，可以用来购买商品的收入只有1500元左右，跟城里人的6860元来比较，这种差距就要更明显的扩大了，就将超过1：4。,1,,{'农民购买生产性开支':'城乡差距扩大'}
我们如果再考虑城里人，还享受着各种各样的隐性福利，住房的福利，医疗的福利，教育的福利，甚至是同样的消费每一度电，城里人比农村的居民还要便宜许多，等等因素的话，中国城乡的差距将超过1：5，达到1：6左右。,1,如果,{'城里人享受着隐性福利':'城乡差距扩大'}
这种差距显然是很不合理的。,0,,
根据国际的标准，一般在一个国家1千美元左右，不到2千美元的情况下面，城乡差距不超过1：2是比较合适的，那么我们国家1：5，1：6这种悬殊的差距，带来了整个国家大多数人，生活在低购买力的区间，造成了整个市场发展不均衡，大家可能会说过去城乡差距不是也是很悬殊么，确实过去城乡差距也是很悬殊，过去城乡悬殊是建立在短缺的阶段，而现在我们是建立在相对宽裕的这样一种状态，当我们发现不仅有能力来满足城里人的需求，而且也有能力要满足农村居民需要的时候，发展这个社会再生产链条，这个国民经济纽带好像是连接不起来，中断了，这就是我们目前经济生活中出现的所谓的市场的阻隔问题，其实就是阻断在农村，整个经济运行中，市场断在农村，这就造成了农民的问题。,1,带来，造成,{'城乡差距扩大','大多数人生活在低购买力的区间','大多数人生活在低购买力的区间':'市场发展不均衡'}
所以我说，农民买不起，城里人就得下岗。,1,所以-就,{'农民买不起':'城里人得下岗'}
为什么我要告诉我们城里人，目前面临的困难不完全是城里人自身的问题，而是因为农村人买不起，造成城里工厂大量的限产压库，关停并转，其结果就是城里职工的下岗失业。,1,为什么，不完全是-而是，造成，其结果是,{'农村人买不起':'造成城里工厂限产压库,关停并转','造成城里工厂限产压库,关停并转':'城里职工下岗失业','城里职工的下岗失业':'不完全是城里人的问题'}
讲到这里自然就想起，社会再生产中是存在一定的客观规律。,0,,
过去常常说资本主义制度下，资本家剥削很残忍，说他宁肯把牛奶倒到海里去，也不愿意把牛奶送给贫困的人喝，好像是这种制度造成的，今天我们国家经济发展中也出现了牛奶要倒到海里去，如浙江、广东就出现这样的现象。,0,,
经济发展到今天，出现我们也要破坏生产能力，来协调经济的发展的时候，我们才发现过去完全从剥削的角度和意识形态的角度解释是不对的。,1,也要-来，才,{'破坏生产能力':'协调经济的发展','经济发展到今天':'发现过去的解释是不对的'}
在社会再生产中，有一个基本的规律，就是生产者的权益和消费者的权益有一个平衡的问题。,0,,
