sentence,casual,math_word,effect-cause
在需求严重不足的条件下，消费者信心下降就可能形成以下恶性循环：信心下降导致居民减少消费支出，而消费增长放慢将导致经济增长下滑，经济增长下滑必然导致居民收入增长下降，这又会导致消费者信心继续下降，并使消费者进一步减少消费支出，使经济增长进一步放慢。,1,在~条件下-就可能，导致，使,{'需求严重不足':'消费者信心下降','消费者信心下降':'形成恶性循环','消费者信心下降':'居民减少消费支出','居民减少消费支出':'消费增长放慢','消费增长放慢':'经济增长下滑','经济增长下滑':'居民收入增长下降','居民收入增长下降':'消费者信心下降'}
因此，稳定和促进信心恢复应该是当前我国宏观经济政策的核心。,0,,
人民币汇率变动主要取决于国内外经济增长差距、国际收支平衡状况、人民币与主要国际货币的利率差等项因素的变化。,1,取决于,{'国内外经济增长差距变化':'人民币汇率变动','国际收支平衡状况变化':'人民币汇率变动','人民币与主要国际货币的利率差变化':'人民币汇率变动'}
“9.11”恐怖袭击事件后，这些因素的变化对人民币产生了升值的压力。,1,对~产生,{'人民币汇率变动':'人民币产生升值的压力'}
今年以来我国经济继续保持较快的增长，前三个季度ＧＤＰ增长率仍然达到了7.6%。,0,,
尽管因受“9.11”恐怖袭击事件影响，第四季度我国经济增长还会继续放慢，但在年内加入WTO的利好消息刺激和积极财政政策支持下，全年ＧＤＰ增长率仍可望达到7.3%左右。,1,因受~影响-还会-可望，在-支持下,{'911事件':'我国经济增长放慢','利好消息刺激,积极财政政策支持':'ＧＤＰ增长率达到7.3%左右'}
根据我国经济的景气周期和对更加积极的财政政策的良好预期，预计明年我国经济仍将实现7%左右的增长，大大高于世界平均增长水平，我国与主要发达国家的经济增长率仍将保持较大差距，支持人民币保持强势。,1,根据-将,{'积极财政政策支持':'我国经济仍将实现7%左右的增长'}
自1994年以来，我国国际收支年年有盈余，外汇储备不断增加。,1,,{'国际收支年年有盈余':'外汇储备不断增加'}
1994-2000年，我国贸易连年顺差，顺差累计达到1600亿美元左右。,0,,
尽管今年出口增长大幅度下滑，但由于进口增长也大幅度下跌，我国贸易仍将保持顺差，预计商品贸易顺差可能达到170亿美元左右。,1,由于,{'进口增长大幅度下跌':'贸易保持顺差'}
1996年以来，每年流入我国的国外直接投资均超过400亿美元，今年可望接近500亿美元。,0,,
尽管明年国际环境会有所恶化，但是，我国商品贸易仍将会保持顺差，国外直接投资也将继续以较快的速度流入我国，使我国国际收支继续保持盈余。,1,使,{'贸易保持顺差':'国外投资流入我国','国外投资流入我国':'国际收支保持盈余'}
现在，我国的外汇储备已超过2000亿美元，这对人民币将形成一个升值的支撑力。,1,支撑,{'外汇储备超过2000亿美元':'人民币升值'}
最近几年，人民币利率低于美元和欧洲主要货币的利率，中外货币利率差对人民币构成贬值的压力。,1,,{'人民币利率低于主要货币的利率':'增加人民币贬值压力'}
但是，今年以来，为了抑制经济下滑，美联储连续降低利率，不断放松货币政策，使人民币与美元的利率差逐步缩小。,1,为了-使,{'美联储连续降低利率,不断放松货币政策':'人民币与美元的利率差逐步缩小','人民币与美元的利率差逐步缩小':'抑制经济下滑'}
“9.11”恐怖袭击事件发生后，在不到两个月的时间内美联储又连续三次下调美元利率。,0,,
截止到11月6日，美联储今年已连续十次下调利率，总下调幅度达到了4.5个百分点。,0,,
目前，联邦基金利率为2.0%,贴现率为1.5%，均是40多年来的最低点。,0,,
欧洲中央银行在放松银根方面向来比较保守，但是恐怖袭击事件发生后却立即将利率下调了50个基准点。,0,,
现在人民币利率已高于美元利率,与欧洲主要货币的利率差也明显缩小。,0,,
这种变化增加了人民币升值的压力。,1,,{'人民币利率高于美元利率':'增加人民币升值的压力'}
由于“9.11”事件后美国经济出现衰退，美元呈现贬值的趋势。,1,由于,{'美国经济出现衰退':'美元呈现贬值的趋势'}
但是，由于我国实行钉住美元的汇率制度，实际上，人民币对许多其他货币却相应贬值。,1,由于，响应,{'实行钉住美元的汇率制度':'人民币相应贬值'}
这种背离是我国实行人民币汇率盯住美元的政策造成的。,1,,{'实行钉住美元的汇率制度':'人民币相应贬值''}
从决定人民币汇率的基本要素来看，人民币呈现升值的压力。,0,,
为了减轻“9.11”事件对我国经济的负面影响，我国在实行积极的财政政策的同时，也应该实行更为宽松的货币政策。,1,为了-在~同时-也,{'实行积极的财政政策,实行宽松的货币政策':'减轻911事件对我国经济的影响'}
但是，目前人民币一年期存款利率仅为2.25%，继续下调的空间也很有限。,0,,
五、对国外直接投资的影响是弊大于利，近十几年来，随着信息化和全球经济一体化的发展，全球国外直接投资迅速增长。,1,对~影响，随着,{'国外直接投资':'弊大于利','信息化和全球经济一体化的发展':'国外直接投资迅速增长'}
2000年，在跨国合并和收购热潮的推动下，全球国外直接投资达到了创纪录的1.3万多亿美元，比1999年增长18%。,1,在~推动下,{'跨国合并,收购热潮':'国外直接投资达到1.3万多亿美元'}
发达国家仍然是外国直接投资的首选目的地，总额约为1.1万亿美元，占全球总国外直接投资的3/4以上。,0,,
流入发展中国家的国外直接投资增长8%，达到2400亿美元。,0,,
去年我国是发展中国家吸收国外直接投资最多的国家，总额达到407亿美元。,0,,
2001年，由于世界上大多数国家的经济增长显著放慢，我国成为世界上经济增长最快的国家之一，加上我国在年底将要入世的利好消息，使得流入我国的国外直接投资呈现快速增长的势头。,1,使得,{'年底将要入世':'国外直接投资快速增长'}
1－9月国外直接投资累计达到了321.96亿美元，比去年同期增长20.7%。,0,,
入世因素是外资快速流入我国的主要原因之一。,1,原因之一,{'入世因素':'外资快速流入我国'}
但是，由于今年第二季度以后国际上主要的资本输出国的经济遇到很大困难，资本输出减少，导致今年全球国外直接投资明显下降。,1,由于-导致,{'资本输出国的经济遇到困难':'资本输出减少','资本输出减少':'国外直接投资明显下降'}
“9.11”恐怖袭击事件发生后，这种下降趋势更加明显。,1,让,{'发生911事件':'国外直接投资下降'}
根据世界银行的预测，今年流入发展中国家的国外直接投资预计仅为1600亿美元，比2000年减少800亿美元，下降33.3%。,0,,
这种下降对我国吸收国外直接投资产生了明显的负面影响。,1,对-产生了,{'国外直接投资下降':'产生负面影响'}
与此同时，“9.11”恐怖袭击事件使世界上许多国家的经济增长率大幅度下降，而我国经济继续保持较快的增长，相应提高了我国吸引外资的比较优势，这对外资流入我国有促进作用。,1,使,{911恐怖袭击事件':'许多国家的经济增长率大幅度下降','我国经济保持较快的增长':'促进外资流入我国'}
综合分析表明，“9.11”恐怖袭击事件对我国吸收国外直接投资的影响是弊大于利。,1,,{'911恐怖袭击事件':'弊大于利'}
毫无疑问，如果不发生“9.11”恐怖袭击事件，今明两年流入我国的国外直接投资增长还会更快。,1,如果-还会,{不发生911恐怖袭击事件':'国外直接投资增长会更快'}
总之，“9.11”恐怖袭击事件对我国经济的影响是弊大于利。,1,,
以上五大影响的综合结果是今明两年我国经济增长率下滑，通货紧缩压力上升。,0,,,
因此，需要继续实行扩大内需的方针，在加大积极财政政策力度的同时，还需要放松银根，增加货币供给，以确保明年GDP的增长率不低于7%。,1,因此-确保,{'扩大内需,加大积极财政政策力度,放松银根,增加货币供给':'确保明年GDP的增长率不低于7%'}
值得注意的是，1-9月，商品净出口下降导致GDP增长率下滑0.7个百分点左右，而国外直接投资超高速增长又使GDP增长率上升了约0.7个百分点，两者大体相抵销。,0,,
在固定资产投资保持高速增长的同时，而GDP增长率却逐季回落，表明今年我国经济增长率逐季下滑主要是消费增长率不断下降引起的。,1,~引起的,{'消费增长率不断下降':'经济增长率逐季下滑'}
所以，明年中央政府还必须把促进居民消费，特别是农村居民消费的增长作为宏观经济政策的重点之一。,1,因为-所以,{'促进居民消费':'提高消费增长率'}
